Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
229000,0.336328,0.336,11.2324,0.711005,7.55154,7.5715,3.43709,0.233734,0.329732,0.584956,
230000,0.33633,0.337,11.2295,0.382969,7.55072,7.57046,3.43153,0.142696,0.193984,0.29778,
231000,0.336571,0.392,11.2277,0.717877,7.55013,7.5698,3.42857,0.23355,0.353579,0.579468,
232000,0.336629,0.35,11.2261,0.464627,7.54945,7.56896,3.42681,0.19209,0.231915,0.35383,
233000,0.336601,0.33,11.2266,1.23075,7.54955,7.56924,3.42742,0.390726,0.592273,1.00563,
234000,0.336662,0.351,11.2299,1.05685,7.55065,7.57058,3.43273,0.411844,0.485633,0.843492,
235000,0.336421,0.28,11.2321,0.430504,7.55117,7.57135,3.43724,0.163256,0.236707,0.320392,
236000,0.336267,0.3,11.2347,8.68234,7.55199,7.57248,3.44155,2.47566,4.42247,7.04953,
237000,0.336084,0.293,11.2341,3.15371,7.55186,7.5723,3.44003,1.42261,1.50447,2.37878,
238000,0.336193,0.362,11.2332,0.604996,7.55144,7.5717,3.43946,0.219497,0.304193,0.474666,
239000,0.336105,0.315,11.2331,1.13643,7.55147,7.57177,3.43905,0.422525,0.518097,0.918977,
