Topology 
Layer 0, Neurons-85, Activation-LINEARLayer 1, Neurons-170, Activation-RELULayer 2, Neurons-170, Activation-RELULayer 3, Neurons-32, Activation-SOFTMAX
Learning Rate,0.002

Baseline Calculator, Critic Network
Iterations,TotalAvgScore,RecentAvgScore,GlobalWeightNorm,GlobalGradientNorm,Layer1WeightNorm,Layer2WeightNorm,Layer3WeightNorm,Layer1GradientNorm,Layer2GradientNorm,Layer3GradientNorm,
226000,0.342619,0.337,11.5008,6.39814,7.65772,7.63169,3.92232,3.40341,2.96151,4.5368,
227000,0.342551,0.327,11.4888,1.27257,7.65414,7.62703,3.90325,0.974151,0.667253,0.474606,
228000,0.342715,0.38,11.4773,3.95093,7.65188,7.62334,3.88106,1.74271,1.85656,3.02092,
229000,0.342585,0.313,11.4803,1.37483,7.65333,7.6247,3.88422,0.954393,0.784481,0.603234,
230000,0.34257,0.339,11.4884,0.754155,7.65523,7.62693,3.90008,0.357629,0.354976,0.56111,
231000,0.342576,0.344,11.4845,0.462196,7.65392,7.62537,3.89426,0.345212,0.23596,0.196917,
232000,0.342336,0.287,11.4889,0.670945,7.65611,7.62736,3.89905,0.35026,0.327388,0.469364,
233000,0.342373,0.351,11.4851,8.49667,7.65509,7.626,3.89239,4.5654,4.41075,5.64763,
234000,0.342269,0.318,11.4896,0.80505,7.65627,7.62718,3.90115,0.398699,0.367081,0.595311,
235000,0.342047,0.29,11.4888,0.391793,7.65701,7.62754,3.89663,0.141108,0.176597,0.320006,
236000,0.341932,0.315,11.4916,0.559391,7.65887,7.62913,3.89812,0.306345,0.252922,0.393829,
237000,0.341717,0.291,11.503,0.646775,7.66298,7.63338,3.91518,0.383517,0.319389,0.411367,
238000,0.34163,0.321,11.5029,2.21571,7.66441,7.63426,3.91039,1.11378,1.08114,1.58114,
